Year,Land der Staatsangehörigkeit,Value
2005,Europa insgesamt,7178.0
2005,Griechenland,71.0
2005,Italien,71.0
2005,Kosovo,
2005,Polen,914.0
2005,Rumänien,72.0
2005,Russische Föderation,496.0
2005,Serbien 2),1630.0
2005,Türkei,2897.0
2005,Ukraine,322.0
2005,Vereinigtes Königreich GB Nordirland,50.0
2005,EU Staaten,1533.0
2005,Afrika insgesamt,568.0
2005,Tunesien,111.0
2005,Amerika insgesamt,213.0
2005,Asien insgesamt,2704.0
2005,Afganistan,236.0
2005,Libanon,395.0
2005,Indien,52.0
2005,Irak,516.0
2005,Iran Islamische Republik,348.0
2005,Pakistan,87.0
2005,Syrien Arabische Republik,171.0
2005,Vietnam,137.0
2005,Australien und Ozeanien,1.0
2005,Sonstige Ziele,222.0
2005,staatenlos,150.0
2005,Insgesamt,10886.0
2006,Europa insgesamt,7567.0
2006,Griechenland,96.0
2006,Italien,85.0
2006,Kosovo,
2006,Polen,864.0
2006,Rumänien,90.0
2006,Russische Föderation,475.0
2006,Serbien 2),1800.0
2006,Türkei,2944.0
2006,Ukraine,492.0
2006,Vereinigtes Königreich GB Nordirland,41.0
2006,EU Staaten,1534.0
2006,Afrika insgesamt,525.0
2006,Tunesien,81.0
2006,Amerika insgesamt,250.0
2006,Asien insgesamt,2851.0
2006,Afganistan,227.0
2006,Libanon,454.0
2006,Indien,44.0
2006,Irak,251.0
2006,Iran Islamische Republik,386.0
2006,Pakistan,76.0
2006,Syrien Arabische Republik,183.0
2006,Vietnam,160.0
2006,Australien und Ozeanien,2.0
2006,Sonstige Ziele,246.0
2006,staatenlos,171.0
2006,Insgesamt,11441.0
2007,Europa insgesamt,5866.0
2007,Griechenland,109.0
2007,Italien,70.0
2007,Kosovo,
2007,Polen,583.0
2007,Rumänien,209.0
2007,Russische Föderation,405.0
2007,Serbien 2),1198.0
2007,Türkei,2162.0
2007,Ukraine,493.0
2007,Vereinigtes Königreich GB Nordirland,36.0
2007,EU Staaten,1289.0
2007,Afrika insgesamt,521.0
2007,Tunesien,112.0
2007,Amerika insgesamt,266.0
2007,Asien insgesamt,2375.0
2007,Afganistan,230.0
2007,Libanon,377.0
2007,Indien,33.0
2007,Irak,286.0
2007,Iran Islamische Republik,362.0
2007,Pakistan,46.0
2007,Syrien Arabische Republik,210.0
2007,Vietnam,158.0
2007,Australien und Ozeanien,1.0
2007,Sonstige Ziele,222.0
2007,staatenlos,136.0
2007,Insgesamt,9251.0
2008,Europa insgesamt,4488.0
2008,Griechenland,98.0
2008,Italien,88.0
2008,Kosovo,
2008,Polen,548.0
2008,Rumänien,124.0
2008,Russische Föderation,188.0
2008,Serbien 2),540.0
2008,Türkei,2020.0
2008,Ukraine,185.0
2008,Vereinigtes Königreich GB Nordirland,39.0
2008,EU Staaten,1232.0
2008,Afrika insgesamt,564.0
2008,Tunesien,76.0
2008,Amerika insgesamt,233.0
2008,Asien insgesamt,2272.0
2008,Afganistan,219.0
2008,Libanon,367.0
2008,Indien,38.0
2008,Irak,306.0
2008,Iran Islamische Republik,303.0
2008,Pakistan,52.0
2008,Syrien Arabische Republik,208.0
2008,Vietnam,110.0
2008,Australien und Ozeanien,0.0
2008,Sonstige Ziele,147.0
2008,staatenlos,99.0
2008,Insgesamt,7704.0
2009,Europa insgesamt,3947.0
2009,Griechenland,69.0
2009,Italien,53.0
2009,Kosovo,34.0
2009,Polen,434.0
2009,Rumänien,119.0
2009,Russische Föderation,257.0
2009,Serbien 2),109.0
2009,Türkei,2170.0
2009,Ukraine,143.0
2009,Vereinigtes Königreich GB Nordirland,24.0
2009,EU Staaten,1017.0
2009,Afrika insgesamt,542.0
2009,Tunesien,73.0
2009,Amerika insgesamt,211.0
2009,Asien insgesamt,2338.0
2009,Afganistan,210.0
2009,Libanon,335.0
2009,Indien,34.0
2009,Irak,361.0
2009,Iran Islamische Republik,323.0
2009,Pakistan,67.0
2009,Syrien Arabische Republik,225.0
2009,Vietnam,227.0
2009,Australien und Ozeanien,1.0
2009,Sonstige Ziele,184.0
2009,staatenlos,125.0
2009,Insgesamt,7223.0
2010,Europa insgesamt,4205.0
2010,Griechenland,72.0
2010,Italien,52.0
2010,Kosovo,170.0
2010,Polen,422.0
2010,Rumänien,136.0
2010,Russische Föderation,304.0
2010,Serbien 2),187.0
2010,Türkei,1892.0
2010,Ukraine,268.0
2010,Vereinigtes Königreich GB Nordirland,21.0
2010,EU Staaten,1165.0
2010,Afrika insgesamt,489.0
2010,Tunesien,89.0
2010,Amerika insgesamt,225.0
2010,Asien insgesamt,2290.0
2010,Afganistan,161.0
2010,Libanon,295.0
2010,Indien,41.0
2010,Irak,392.0
2010,Iran Islamische Republik,245.0
2010,Pakistan,33.0
2010,Syrien Arabische Republik,219.0
2010,Vietnam,280.0
2010,Australien und Ozeanien,2.0
2010,Sonstige Ziele,152.0
2010,staatenlos,125.0
2010,Insgesamt,7363.0
2011,Europa insgesamt,4595.0
2011,Griechenland,126.0
2011,Italien,77.0
2011,Kosovo,221.0
2011,Polen,477.0
2011,Rumänien,132.0
2011,Russische Föderation,283.0
2011,Serbien 2),258.0
2011,Türkei,2010.0
2011,Ukraine,380.0
2011,Vereinigtes Königreich GB Nordirland,28.0
2011,EU Staaten,1263.0
2011,Afrika insgesamt,599.0
2011,Tunesien,96.0
2011,Amerika insgesamt,211.0
2011,Asien insgesamt,2443.0
2011,Afganistan,124.0
2011,Libanon,240.0
2011,Indien,44.0
2011,Irak,434.0
2011,Iran Islamische Republik,255.0
2011,Pakistan,47.0
2011,Syrien Arabische Republik,219.0
2011,Vietnam,419.0
2011,Australien und Ozeanien,3.0
2011,Sonstige Ziele,144.0
2011,staatenlos,99.0
2011,Insgesamt,7995.0
2012,Europa insgesamt,5096.0
2012,Griechenland,344.0
2012,Italien,89.0
2012,Kosovo,181.0
2012,Polen,518.0
2012,Rumänien,81.0
2012,Russische Föderation,299.0
2012,Serbien 2),225.0
2012,Türkei,2361.0
2012,Ukraine,325.0
2012,Vereinigtes Königreich GB Nordirland,20.0
2012,EU Staaten,1482.0
2012,Afrika insgesamt,596.0
2012,Tunesien,110.0
2012,Amerika insgesamt,211.0
2012,Asien insgesamt,2488.0
2012,Afganistan,121.0
2012,Libanon,209.0
2012,Indien,64.0
2012,Irak,273.0
2012,Iran Islamische Republik,227.0
2012,Pakistan,49.0
2012,Syrien Arabische Republik,208.0
2012,Vietnam,667.0
2012,Australien und Ozeanien,2.0
2012,Sonstige Ziele,133.0
2012,staatenlos,117.0
2012,Insgesamt,8526.0
2013,Europa insgesamt,4900.0
2013,Griechenland,231.0
2013,Italien,114.0
2013,Kosovo,222.0
2013,Polen,655.0
2013,Rumänien,115.0
2013,Russische Föderation,245.0
2013,Serbien 2),215.0
2013,Türkei,1864.0
2013,Ukraine,382.0
2013,Vereinigtes Königreich GB Nordirland,55.0
2013,EU Staaten,1739.0
2013,Afrika insgesamt,589.0
2013,Tunesien,111.0
2013,Amerika insgesamt,228.0
2013,Asien insgesamt,2348.0
2013,Afganistan,129.0
2013,Libanon,243.0
2013,Indien,61.0
2013,Irak,326.0
2013,Iran Islamische Republik,227.0
2013,Pakistan,40.0
2013,Syrien Arabische Republik,247.0
2013,Vietnam,387.0
2013,Australien und Ozeanien,1.0
2013,Sonstige Ziele,150.0
2013,staatenlos,113.0
2013,Insgesamt,8216.0
2014,Europa insgesamt,4399.0
2014,Griechenland,195.0
2014,Italien,128.0
2014,Kosovo,216.0
2014,Polen,576.0
2014,Rumänien,113.0
2014,Russische Föderation,251.0
2014,Serbien 2),174.0
2014,Türkei,1657.0
2014,Ukraine,148.0
2014,Vereinigtes Königreich GB Nordirland,64.0
2014,EU Staaten,1769.0
2014,Afrika insgesamt,596.0
2014,Tunesien,119.0
2014,Amerika insgesamt,256.0
2014,Asien insgesamt,2364.0
2014,Afganistan,129.0
2014,Libanon,254.0
2014,Indien,63.0
2014,Irak,317.0
2014,Iran Islamische Republik,262.0
2014,Pakistan,61.0
2014,Syrien Arabische Republik,300.0
2014,Vietnam,277.0
2014,Australien und Ozeanien,0.0
2014,Sonstige Ziele,107.0
2014,staatenlos,83.0
2014,Insgesamt,7722.0
2015,Europa insgesamt,4598.0
2015,Griechenland,191.0
2015,Italien,139.0
2015,Kosovo,242.0
2015,Polen,559.0
2015,Rumänien,156.0
2015,Russische Föderation,168.0
2015,Serbien 2),162.0
2015,Türkei,1709.0
2015,Ukraine,328.0
2015,Vereinigtes Königreich GB Nordirland,63.0
2015,EU Staaten,1765.0
2015,Afrika insgesamt,625.0
2015,Tunesien,112.0
2015,Amerika insgesamt,260.0
2015,Asien insgesamt,2392.0
2015,Afganistan,129.0
2015,Libanon,259.0
2015,Indien,65.0
2015,Irak,313.0
2015,Iran Islamische Republik,221.0
2015,Pakistan,66.0
2015,Syrien Arabische Republik,398.0
2015,Vietnam,266.0
2015,Australien und Ozeanien,1.0
2015,Sonstige Ziele,112.0
2015,staatenlos,80.0
2015,Insgesamt,7988.0
2016,Europa insgesamt,4880.0
2016,Griechenland,222.0
2016,Italien,160.0
2016,Kosovo,215.0
2016,Polen,650.0
2016,Rumänien,193.0
2016,Russische Föderation,225.0
2016,Serbien 2),214.0
2016,Türkei,1278.0
2016,Ukraine,449.0
2016,Vereinigtes Königreich GB Nordirland,295.0
2016,EU Staaten,2262.0
2016,Afrika insgesamt,647.0
2016,Tunesien,134.0
2016,Amerika insgesamt,270.0
2016,Asien insgesamt,2614.0
2016,Afganistan,150.0
2016,Libanon,303.0
2016,Indien,96.0
2016,Irak,430.0
2016,Iran Islamische Republik,255.0
2016,Pakistan,77.0
2016,Syrien Arabische Republik,368.0
2016,Vietnam,265.0
2016,Australien und Ozeanien,0.0
2016,Sonstige Ziele,108.0
2016,staatenlos,70.0
2016,Insgesamt,8519.0
2017,Europa insgesamt,5044.0
2017,Griechenland,224.0
2017,Italien,226.0
2017,Kosovo,247.0
2017,Polen,664.0
2017,Rumänien,241.0
2017,Russische Föderation,157.0
2017,Serbien 2),142.0
2017,Türkei,1208.0
2017,Ukraine,238.0
2017,Vereinigtes Königreich GB Nordirland,672.0
2017,EU Staaten,2787.0
2017,Afrika insgesamt,673.0
2017,Tunesien,108.0
2017,Amerika insgesamt,296.0
2017,Asien insgesamt,2599.0
2017,Afganistan,158.0
2017,Libanon,238.0
2017,Indien,103.0
2017,Irak,403.0
2017,Iran Islamische Republik,260.0
2017,Pakistan,60.0
2017,Syrien Arabische Republik,444.0
2017,Vietnam,259.0
2017,Australien und Ozeanien,2.0
2017,Sonstige Ziele,171.0
2017,staatenlos,138.0
2017,Insgesamt,8785.0
2018,Europa insgesamt,4743.0
2018,Griechenland,206.0
2018,Italien,199.0
2018,Kosovo,217.0
2018,Polen,598.0
2018,Rumänien,239.0
2018,Russische Föderation,132.0
2018,Serbien 2),254.0
2018,Türkei,1185.0
2018,Ukraine,180.0
2018,Vereinigtes Königreich GB Nordirland,582.0
2018,EU Staaten,2501.0
2018,Afrika insgesamt,658.0
2018,Tunesien,119.0
2018,Amerika insgesamt,247.0
2018,Asien insgesamt,2694.0
2018,Afganistan,131.0
2018,Libanon,233.0
2018,Indien,73.0
2018,Irak,389.0
2018,Iran Islamische Republik,243.0
2018,Pakistan,57.0
2018,Syrien Arabische Republik,664.0
2018,Vietnam,290.0
2018,Australien und Ozeanien,1.0
2018,Sonstige Ziele,127.0
2018,staatenlos,104.0
2018,Insgesamt,8470.0
2019,Europa insgesamt,6722.0
2019,Griechenland,157.0
2019,Italien,170.0
2019,Kosovo,188.0
2019,Polen,644.0
2019,Rumänien,337.0
2019,Russische Föderation,149.0
2019,Serbien 2),275.0
2019,Türkei,1331.0
2019,Ukraine,303.0
2019,Vereinigtes Königreich GB Nordirland,2217.0
2019,EU Staaten,4241.0
2019,Afrika insgesamt,661.0
2019,Tunesien,124.0
2019,Amerika insgesamt,288.0
2019,Asien insgesamt,3120.0
2019,Afganistan,167.0
2019,Libanon,209.0
2019,Indien,157.0
2019,Irak,465.0
2019,Iran Islamische Republik,308.0
2019,Pakistan,77.0
2019,Syrien Arabische Republik,857.0
2019,Vietnam,224.0
2019,Australien und Ozeanien,3.0
2019,Sonstige Ziele,137.0
2019,staatenlos,115.0
2019,Insgesamt,10932.0
2020,Europa insgesamt,4041.0
2020,Griechenland,127.0
2020,Italien,153.0
2020,Kosovo,171.0
2020,Polen,572.0
2020,Rumänien,369.0
2020,Russische Föderation,131.0
2020,Serbien 2),268.0
2020,Türkei,783.0
2020,Ukraine,164.0
2020,Vereinigtes Königreich GB Nordirland,441.0
2020,EU Staaten,2376.0
2020,Afrika insgesamt,744.0
2020,Tunesien,150.0
2020,Amerika insgesamt,272.0
2020,Asien insgesamt,3645.0
2020,Afganistan,184.0
2020,Libanon,194.0
2020,Indien,117.0
2020,Irak,477.0
2020,Iran Islamische Republik,336.0
2020,Pakistan,120.0
2020,Syrien Arabische Republik,1414.0
2020,Vietnam,199.0
2020,Australien und Ozeanien,5.0
2020,Sonstige Ziele,171.0
2020,staatenlos,146.0
2020,Insgesamt,8878.0
